,id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
61,713271,West End,49.28104,-123.13621,Entire home/apt,135.0,30,94,0.74,1,234,6,nan
62,731219,Kitsilano,49.26026,-123.18195,Entire home/apt,155.0,31,13,0.1,1,36,0,nan
63,755558,Kitsilano,49.25996,-123.16653,Entire home/apt,,2,78,0.62,1,0,0,21-157483
64,763445,Renfrew-Collingwood,49.24438,-123.04453,Entire home/apt,,3,237,1.78,1,0,38,23-156422
65,771366,Downtown,49.278350830078125,-123.1224136352539,Entire home/apt,240.0,30,10,0.08,41,341,4,nan
66,771380,Downtown,49.278350830078125,-123.1224136352539,Entire home/apt,385.0,30,11,0.08,41,365,2,nan
67,784153,Kitsilano,49.26186,-123.17438,Entire home/apt,83.0,31,62,0.47,3,270,7,.
68,785297,Kitsilano,49.26355,-123.17326,Private room,92.0,14,84,0.62,3,224,7,23-156379
69,785752,Kitsilano,49.26213,-123.17482,Entire home/apt,125.0,31,3,0.02,3,211,0,Long Term Rental Only
70,796603,West End,49.28087,-123.13525,Shared room,30.0,30,0,,1,0,0,nan
71,801222,Fairview,49.25804,-123.12119,Entire home/apt,95.0,30,23,0.18,3,361,0,nan
72,824612,Hastings-Sunrise,49.28618,-123.05403,Entire home/apt,84.0,31,74,0.56,1,144,5,nan
73,875309,Kitsilano,49.27073,-123.16325,Entire home/apt,,7,35,0.27,1,0,1,23-156622
74,885600,Dunbar Southlands,49.24803,-123.18517,Entire home/apt,140.0,3,275,2.09,1,180,36,23-156307
75,961006,Riley Park,49.23569,-123.10987,Entire home/apt,,1,6,0.05,4,0,0,20-185023
76,961831,Kitsilano,49.26648,-123.15939,Private room,99.0,4,42,1.2,2,85,6,22-156862
77,980511,Downtown,49.27489,-123.12654,Entire home/apt,,30,11,0.11,33,0,2,nan
78,995174,West End,49.28837,-123.12766,Entire home/apt,,30,15,0.12,33,0,2,nan
79,1012385,Mount Pleasant,49.25674175777474,-123.08739684561344,Entire home/apt,84.0,2,364,2.82,1,145,46,23-156575
80,1015935,Downtown Eastside,49.2804,-123.08908,Entire home/apt,125.0,30,217,1.7,3,112,3,19-162091
81,1021607,Downtown,49.27747,-123.12098,Entire home/apt,70.0,30,110,0.85,1,49,7,nan
82,1032892,Grandview-Woodland,49.27241,-123.06332,Private room,125.0,2,131,1.02,1,155,36,23-156419
83,1061895,Renfrew-Collingwood,49.24166,-123.0407,Private room,86.0,2,86,0.93,1,12,14,23-158144
84,1092176,West End,49.2843,-123.13119,Entire home/apt,200.0,3,55,0.43,2,32,1,23-157217
85,1109821,West End,49.29258,-123.13446,Entire home/apt,,365,11,0.09,33,0,0,nan
86,1113551,Kitsilano,49.26110076904297,-123.1595458984375,Entire home/apt,780.0,7,48,0.38,1,110,6,23-156690
87,1118858,West End,49.28239,-123.13021,Private room,75.0,30,61,0.48,4,360,1,18-573700
88,1141457,Downtown Eastside,49.27925,-123.08814,Entire home/apt,103.0,3,330,2.56,1,200,31,23-156738
89,1178149,Hastings-Sunrise,49.26957,-123.04828,Entire home/apt,114.0,3,83,1.26,1,172,22,23-156432
90,1187929,Kensington-Cedar Cottage,49.24965,-123.07027,Entire home/apt,199.0,5,122,0.96,1,45,14,23-158451
91,1191143,Kitsilano,49.26716,-123.17653,Entire home/apt,300.0,6,16,0.14,2,102,1,23-158044
92,1214617,Grandview-Woodland,49.26731,-123.06909,Entire home/apt,179.0,3,246,1.94,1,114,23,23-156478
93,1223989,Downtown,49.27843,-123.12901,Entire home/apt,,90,99,0.78,1,0,0,nan
94,1229506,Grandview-Woodland,49.26596,-123.06844,Entire home/apt,520.0,3,14,0.11,1,337,3,23-158203
95,1273760,Downtown,49.28478,-123.1192,Private room,183.0,2,583,4.59,2,301,64,nan
96,1291394,Kitsilano,49.26889,-123.18543,Entire home/apt,150.0,30,43,0.34,2,225,4,22-174488
97,1309315,Mount Pleasant,49.26719,-123.10982,Entire home/apt,,5,7,0.06,1,0,0,22-233957
98,1316477,Downtown,49.27859,-123.11993,Entire home/apt,,90,7,0.07,33,0,0,nan
99,1343411,Downtown Eastside,49.27627,-123.10013,Entire home/apt,,1,54,0.54,1,0,0,18-615245
100,1343519,West End,49.28247,-123.13068,Private room,75.0,30,71,0.61,4,365,3,18-573700
101,1360765,Downtown,49.284,-123.11432,Entire home/apt,110.0,30,122,0.96,3,275,7,nan
102,1365609,West End,49.27932,-123.12911,Entire home/apt,123.0,4,187,1.48,1,57,38,23-156274
103,1393599,Downtown,49.27393,-123.10069,Entire home/apt,250.0,30,1,0.08,1,180,0,nan
104,1399744,Mount Pleasant,49.26964,-123.11064,Entire home/apt,450.0,30,13,0.11,1,182,1,nan
105,1502887,Downtown,49.29014,-123.12716,Entire home/apt,,180,5,0.04,33,0,0,nan
106,1507975,Riley Park,49.24882,-123.09121,Private room,81.0,3,342,2.72,1,0,33,23-156566
107,1525113,West End,49.29101,-123.14085,Entire home/apt,70.0,30,18,0.15,33,42,5,nan
108,1610084,Kensington-Cedar Cottage,49.259355585297335,-123.06131358343916,Entire home/apt,183.0,2,189,1.51,1,311,28,24-157920
109,1623556,Riley Park,49.25259,-123.09292,Entire home/apt,110.0,3,338,2.71,1,148,40,23-156561
110,1629480,Riley Park,49.25225,-123.10756,Entire home/apt,80.0,30,143,1.23,1,118,5,nan
111,1657214,Downtown Eastside,49.28167,-123.10984,Entire home/apt,250.0,30,6,0.05,1,166,1,nan
112,1703616,Kitsilano,49.26548,-123.14579,Entire home/apt,130.0,30,3,0.15,1,365,2,nan
113,1717967,Riley Park,49.24778,-123.09867,Entire home/apt,150.0,2,357,2.92,1,166,36,23-156482
114,1733307,Downtown,49.27781,-123.10637,Entire home/apt,199.0,1,152,5.5,1,9,69,23-157545
115,1768817,Riley Park,49.24489,-123.10302,Entire home/apt,95.0,30,72,0.6,1,318,3,24-151825
116,1820919,Mount Pleasant,49.2585,-123.11479,Entire home/apt,395.0,2,88,1.22,1,9,30,18-632419
117,1830733,Downtown Eastside,49.27866,-123.08627,Entire home/apt,150.0,2,269,2.2,4,165,14,23-156672
118,1850984,Strathcona,49.26772,-123.0975,Entire home/apt,,4,36,0.3,1,0,5,20-197406
119,1869071,Downtown,49.28216,-123.12438,Entire home/apt,83.0,30,5,0.05,33,0,1,nan
120,1898584,Downtown,49.27915,-123.10642,Entire home/apt,82.0,90,37,0.3,1,75,1,nan
121,1932171,Grandview-Woodland,49.26861,-123.06666,Entire home/apt,,31,11,0.12,1,0,0,nan
122,1936740,Shaughnessy,49.25646,-123.14563,Entire home/apt,100.0,30,0,,1,364,0,nan
123,1962072,Mount Pleasant,49.26,-123.10807,Entire home/apt,200.0,31,1,0.01,1,144,0,18-607729-00-SA
124,1995592,Kitsilano,49.263252,-123.164825,Private room,110.0,2,346,2.84,1,78,32,22-155953
125,2003897,Fairview,49.26263,-123.11627,Entire home/apt,130.0,120,2,0.02,1,72,0,nan
126,2011559,Kitsilano,49.26057,-123.15881,Entire home/apt,594.0,5,43,0.47,1,49,5,22-157347
127,2033952,Kitsilano,49.26715,-123.15325,Entire home/apt,,2,6,0.12,1,0,0,20162988
128,2041582,Kitsilano,49.2753,-123.14721,Entire home/apt,125.0,30,253,2.17,1,314,6,20-160763
129,2042431,Downtown,49.28005,-123.11659,Entire home/apt,135.0,30,139,1.16,2,195,5,nan
130,2046259,Riley Park,49.23573,-123.10819,Entire home/apt,,1,7,0.08,4,0,0,20-185023
131,2056676,Downtown,49.27393,-123.11599,Entire home/apt,110.0,30,95,0.78,3,350,4,"#18-609683 for unit 2610 , #18-609676 for unit 1503"
132,2084273,Renfrew-Collingwood,49.24976,-123.03547,Private room,85.0,31,46,0.39,5,194,2,nan
133,2092610,Mount Pleasant,49.2655,-123.0969,Entire home/apt,125.0,30,46,0.38,2,343,4,nan
134,2106364,Renfrew-Collingwood,49.24958,-123.0359,Private room,75.0,31,35,0.29,5,249,7,nan
135,2163742,Kensington-Cedar Cottage,49.26199,-123.07408,Private room,78.0,2,132,1.12,1,170,17,18-610718
136,2168943,Fairview,49.25972,-123.14269,Entire home/apt,,7,14,0.12,1,0,0,nan
137,2183209,Kitsilano,49.26597,-123.15633,Entire home/apt,200.0,30,135,1.16,1,365,2,19-162396
138,2198419,Downtown,49.2773,-123.12294,Entire home/apt,115.0,180,142,1.2,1,257,0,nan
139,2216062,West Point Grey,49.26992,-123.18596,Entire home/apt,99.0,28,66,0.57,1,80,7,23-156424
140,2273714,Grandview-Woodland,49.27228,-123.06946,Entire home/apt,180.0,3,40,0.34,1,73,0,23-232609-01
141,2282114,Dunbar Southlands,49.23792,-123.18224,Entire home/apt,750.0,7,23,0.21,1,217,3,23-156279
142,2365994,West End,49.28298,-123.12339,Entire home/apt,150.0,30,96,0.8,1,0,0,18-609155
143,2430682,Kitsilano,49.27104,-123.14994,Entire home/apt,219.0,3,94,0.81,1,16,0,18-611570
144,2454353,Kensington-Cedar Cottage,49.23748,-123.08735,Entire home/apt,160.0,3,183,1.55,1,163,3,23-151638
145,2472791,Kitsilano,49.27075,-123.1541,Entire home/apt,195.0,5,20,0.17,1,67,9,23-158359
146,2493042,Fairview,49.26254,-123.13054,Entire home/apt,133.0,30,1,0.1,1,0,1,nan
147,2502137,Mount Pleasant,49.25877,-123.08299,Entire home/apt,90.0,30,53,0.46,1,332,1,nan
148,2521520,Killarney,49.21083,-123.04264,Entire home/apt,163.0,30,16,0.14,1,365,0,nan
149,2532975,Hastings-Sunrise,49.28586959838867,-123.05322265625,Entire home/apt,199.0,3,46,0.39,1,335,5,Licence 23-258966
150,2576878,Fairview,49.25865,-123.12294,Entire home/apt,106.0,30,8,0.07,3,255,2,nan
151,2592307,South Cambie,49.25222,-123.1186,Entire home/apt,112.0,2,710,6.08,1,112,73,23-156483
152,2644110,Grandview-Woodland,49.28545,-123.06435,Entire home/apt,,6,22,0.19,1,0,0,18-603704
153,2653578,Downtown,49.28044,-123.12496,Entire home/apt,124.0,1,408,5.54,1,0,62,23-156366
154,2658803,West End,49.28169,-123.12628,Entire home/apt,,30,19,0.16,33,0,0,nan
155,2669445,West Point Grey,49.27109,-123.2088,Entire home/apt,94.0,30,13,0.11,1,365,2,nan
156,2675179,Kitsilano,49.27512,-123.15131,Entire home/apt,295.0,30,102,0.88,1,226,5,19-161283
157,2709965,Kensington-Cedar Cottage,49.25572,-123.06554,Private room,,1,106,0.94,1,0,4,20-160326
158,2710628,Hastings-Sunrise,49.26523149806469,-123.03565216064452,Entire home/apt,124.0,1,21,3.23,1,322,21,23-191102
159,2730555,Mount Pleasant,49.26536,-123.09943,Entire home/apt,190.0,3,138,1.83,1,90,23,23-156394
160,2764812,Downtown,49.27992,-123.12658,Entire home/apt,244.0,1,173,1.48,1,171,40,23-157408
161,2812038,Mount Pleasant,49.25665,-123.10039,Entire home/apt,168.0,1,215,1.84,1,96,24,20-116887
162,2831971,Grandview-Woodland,49.27465,-123.0669,Entire home/apt,60.0,30,2,0.1,1,347,0,22-213887
163,2836478,Downtown,49.27293,-123.12547,Entire home/apt,,90,3,0.03,1,0,0,nan
164,2847310,Downtown Eastside,49.28247,-123.10342,Entire home/apt,241.0,2,458,3.91,1,209,65,23-156426
165,2876573,Downtown,49.28945,-123.12665,Entire home/apt,163.0,30,0,,1,364,0,nan
166,2944104,Downtown,49.27795,-123.11734,Entire home/apt,110.0,30,101,0.87,3,248,5,nan
167,2958786,West End,49.29314,-123.13535,Private room,117.0,2,403,3.45,1,70,28,24-158559
168,2966088,Kensington-Cedar Cottage,49.247898,-123.082802,Entire home/apt,209.0,30,51,0.45,2,350,2,nan
169,2985232,West Point Grey,49.26338,-123.18966,Entire home/apt,,7,11,0.12,1,0,2,23-156413
170,2988185,West End,49.28884,-123.13288,Entire home/apt,98.0,30,5,0.04,33,25,0,nan
171,2988465,West End,49.28748,-123.1289,Entire home/apt,87.0,30,7,0.12,33,38,0,nan
172,2997414,Strathcona,49.27629,-123.09888,Entire home/apt,,30,8,0.07,1,0,2,nan
173,3018758,Hastings-Sunrise,49.28006,-123.05409,Entire home/apt,,3,2,0.02,1,0,0,22-200876
174,3040736,Downtown,49.2796,-123.12152,Entire home/apt,,32,0,,33,0,0,nan
175,3068198,Kitsilano,49.26682,-123.15312,Entire home/apt,,4,1,0.01,1,0,0,18-586044
176,3093219,Kitsilano,49.2669,-123.18107,Entire home/apt,425.0,2,20,0.18,1,10,2,20-162050
177,3100878,Downtown,49.27622,-123.12585,Entire home/apt,115.0,30,3,0.06,1,272,2,nan
178,3124378,Downtown,49.27511,-123.12679,Entire home/apt,,31,5,0.05,33,0,0,nan
179,3130486,Mount Pleasant,49.26731,-123.09774,Entire home/apt,139.0,3,123,1.08,2,14,18,23-156685
180,3133244,West End,49.27917,-123.1337,Entire home/apt,200.0,30,76,0.66,1,0,0,nan
181,3138351,Renfrew-Collingwood,49.24187,-123.03668,Private room,50.0,7,46,0.4,2,29,5,23-119249
182,3142563,Kitsilano,49.26366,-123.18138,Entire home/apt,110.0,1,210,8.04,1,0,102,23-157429
183,3158555,Hastings-Sunrise,49.2785,-123.05217,Entire home/apt,80.0,2,199,1.72,1,0,8,22156805
184,3158923,Grandview-Woodland,49.26802,-123.07374,Entire home/apt,,2,0,,1,0,0,20-203277
185,3168686,Downtown Eastside,49.2839,-123.10111,Entire home/apt,188.0,1,64,0.62,2,9,15,23-156512
186,3177610,Downtown,49.27914,-123.12016,Entire home/apt,400.0,30,24,0.21,1,179,0,nan
187,3183304,Renfrew-Collingwood,49.24348,-123.03844,Private room,40.0,30,50,0.44,2,89,3,23-156556
188,3194330,Grandview-Woodland,49.26989254514103,-123.0654059540458,Entire home/apt,95.0,30,1,0.4,1,270,1,nan
189,3215295,Riley Park,49.2498,-123.10378,Entire home/apt,120.0,30,54,0.47,1,354,3,19245485
190,3230030,Downtown,49.28875,-123.12417,Entire home/apt,,30,6,0.06,33,0,1,nan
191,3230315,Downtown,49.28886,-123.12616,Entire home/apt,93.0,30,3,0.11,33,16,0,nan
192,3241017,Downtown,49.2782,-123.10575,Entire home/apt,,3,146,1.27,1,0,20,24-157498
193,3248971,West End,49.28719,-123.12856,Entire home/apt,73.0,30,2,0.03,33,42,0,nan
194,3258141,Kitsilano,49.27197,-123.17999,Entire home/apt,,7,5,0.04,1,0,0,nan
195,3302983,Downtown,49.29004,-123.12665,Entire home/apt,,60,1,0.01,33,0,0,nan
196,3309313,Downtown,49.27899,-123.12156,Entire home/apt,385.0,30,4,0.04,41,365,2,nan
197,3331054,Hastings-Sunrise,49.28488,-123.02993,Entire home/apt,84.0,30,96,0.84,1,152,7,18-613159
198,3340865,Dunbar Southlands,49.2472936,-123.1706461,Entire home/apt,108.0,2,19,2.95,1,0,19,23-210010
199,3342823,Kitsilano,49.26769548861046,-123.15297966446786,Entire home/apt,275.0,2,116,1.01,1,269,16,22-156277
200,3379799,Kitsilano,49.26214586003144,-123.18029817007611,Entire home/apt,681.0,4,7,0.06,1,41,2,23-215224
201,3379810,Hastings-Sunrise,49.27402,-123.054,Entire home/apt,,3,8,0.07,1,0,0,23-260314
202,3415750,West End,49.28374,-123.12267,Entire home/apt,125.0,30,103,0.9,1,316,3,nan
203,3425973,Kitsilano,49.27523,-123.1524,Entire home/apt,234.0,7,18,0.18,1,55,4,23-156729
204,3430102,Renfrew-Collingwood,49.23322,-123.02764,Private room,,4,4,0.04,1,0,0,22-230744
205,3458717,Kitsilano,49.26867,-123.16656,Entire home/apt,394.0,1,125,1.28,3,263,35,23-156692
206,3479638,Renfrew-Collingwood,49.24559,-123.04974,Private room,90.0,30,29,0.26,5,240,7,nan
207,3534949,Dunbar Southlands,49.25782,-123.20131,Private room,126.0,3,100,0.88,1,89,5,23-156726
208,3563108,Downtown Eastside,49.27928,-123.07949,Private room,95.0,2,449,3.95,1,0,42,23-156380
209,3577737,Hastings-Sunrise,49.27021,-123.03816,Entire home/apt,150.0,1,249,2.18,1,0,49,23-156636
210,3594666,Downtown,49.27656,-123.11813,Entire home/apt,452.0,30,12,0.1,5,365,0,18 607863 AM
211,3621849,Hastings-Sunrise,49.29169,-123.05097,Entire home/apt,414.0,1,201,1.94,2,0,131,22-156476
212,3629071,Grandview-Woodland,49.27198,-123.0681,Entire home/apt,130.0,2,711,6.21,1,226,74,23-156320
213,3638973,Renfrew-Collingwood,49.24389,-123.0485,Private room,137.0,30,24,0.21,5,270,1,nan
214,3678827,Downtown,49.27514,-123.12373,Entire home/apt,380.0,90,0,,1,362,0,nan
215,3678989,Grandview-Woodland,49.27166,-123.06616,Entire home/apt,121.0,2,344,3.01,1,0,51,23-157309
216,3679016,Grandview-Woodland,49.27412,-123.07405,Entire home/apt,,3,96,1.0,1,0,0,19-161202
217,3742414,West Point Grey,49.26013,-123.1891,Entire home/apt,185.0,2,202,1.78,1,273,34,22-156162
218,3766620,Kitsilano,49.26268,-123.14881,Entire home/apt,,7,32,0.28,1,0,0,18-623007
219,3803319,Mount Pleasant,49.25725,-123.08369,Entire home/apt,199.0,4,64,0.56,1,0,0,20-159534
220,3811719,Downtown,49.28873,-123.12582,Entire home/apt,88.0,30,3,0.05,33,13,1,nan
221,3812348,Riley Park,49.2357,-123.10428,Private room,85.0,3,765,6.77,1,72,57,23-156327
222,3829365,Grandview-Woodland,49.26998,-123.06769,Entire home/apt,95.0,1,650,5.72,1,37,59,23-157951
223,3857478,West End,49.2852,-123.13391,Entire home/apt,141.0,30,201,1.77,1,71,9,nan
224,3859085,Mount Pleasant,49.26037,-123.10503,Private room,104.0,3,467,4.12,1,279,55,23-156473
225,3888379,Grandview-Woodland,49.26756,-123.06667,Entire home/apt,155.0,4,74,0.71,2,40,6,23-157453
226,3902807,Kitsilano,49.2649,-123.16641,Entire home/apt,395.0,30,0,,1,144,0,nan
227,3971726,Downtown,49.28169,-123.11802,Entire home/apt,98.0,30,212,1.9,1,0,0,19-212763
228,3994011,West End,49.29236,-123.13936,Entire home/apt,80.0,30,12,0.11,33,37,1,nan
229,4054111,Mount Pleasant,49.25886,-123.10898,Entire home/apt,321.0,2,251,2.23,1,220,45,22-156380
230,4075378,Downtown,49.27399,-123.12399,Entire home/apt,120.0,30,106,0.96,1,364,1,nan
231,4104870,Grandview-Woodland,49.2719668,-123.0706379,Entire home/apt,138.0,5,109,1.01,3,360,17,23-157944
232,4118193,Downtown,49.28063,-123.12652,Entire home/apt,542.0,1,0,,1,361,0,Exempt
233,4120301,Downtown,49.27949,-123.10711,Entire home/apt,169.0,30,18,0.17,13,364,0,18-606710
234,4137579,Grandview-Woodland,49.27585,-123.06803,Entire home/apt,229.0,3,121,1.17,1,356,8,22-156233
235,4145030,Killarney,49.22826,-123.03193,Private room,153.0,2,35,0.31,5,365,6,23-119829
236,4179637,Downtown,49.27429,-123.12966,Private room,,2,61,0.55,1,0,46,23-156459
237,4225233,West End,49.28409,-123.12462,Entire home/apt,123.0,30,63,0.57,1,346,0,nan
238,4244379,Downtown Eastside,49.28109,-123.10671,Entire home/apt,148.0,2,450,4.69,1,0,69,23-157376
239,4256725,Hastings-Sunrise,49.28675,-123.04766,Entire home/apt,132.0,2,70,3.0,1,76,38,23-157791
240,4318059,Downtown,49.27707,-123.11507,Entire home/apt,200.0,182,21,0.19,2,365,0,nan
241,4348412,Kitsilano,49.2669,-123.16656,Entire home/apt,,3,340,3.07,1,0,0,21-156797
242,4377155,Kensington-Cedar Cottage,49.25595,-123.07807,Entire home/apt,,5,38,0.42,1,0,0,19-161538
243,4395511,Renfrew-Collingwood,49.23695,-123.03251,Private room,55.0,4,306,2.76,2,0,23,23-156293
244,4404431,Kitsilano,49.26184,-123.14763,Entire home/apt,,5,12,0.12,1,0,0,21-157214
245,4418911,Kitsilano,49.27351,-123.15035,Entire home/apt,140.0,28,31,0.32,1,0,0,22-156220
246,4465068,Kitsilano,49.27487,-123.14964,Entire home/apt,675.0,2,28,0.27,1,88,17,22-263836
247,4465400,Kitsilano,49.27315,-123.16093,Entire home/apt,543.0,4,42,0.38,1,6,2,23-156387
248,4493377,Kitsilano,49.26137,-123.16982,Entire home/apt,155.0,30,117,1.06,1,161,6,Exempt
249,4495075,West End,49.287994384765625,-123.12734985351562,Entire home/apt,115.0,30,0,,1,70,0,nan
250,4510264,Hastings-Sunrise,49.27216,-123.04006,Entire home/apt,,3,12,0.11,2,0,1,23-232608
251,4568364,West Point Grey,49.26424,-123.20055,Entire home/apt,156.0,2,314,2.96,1,0,51,23-156587
252,4588807,Mount Pleasant,49.27186,-123.10121,Private room,225.0,30,73,0.68,2,364,0,nan
253,4624838,Mount Pleasant,49.26041,-123.09035,Private room,79.0,5,237,2.21,2,71,21,23-156389
254,4630113,Renfrew-Collingwood,49.2346,-123.02652,Entire home/apt,100.0,35,15,0.15,1,7,0,nan
255,4637856,Grandview-Woodland,49.28111,-123.07293,Entire home/apt,110.0,30,9,0.08,1,144,0,nan
